,date,low,high,open,close,SMA,FRAMA,TEMA,test,diff,symbol,beta,alpha,gauss,ATR_diff,ATR,Line,upper_band,lower_band,upper_band_1,lower_band_1,upper_band_2,lower_band_2
0,2019-01-07,6136.5,6535.75,6312.25,6496.5,,6496.5,6496.5,5,2.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,6496.5,399.25,399.25,6496.5,6895.75,6097.25,7135.3,5857.7,7055.45,5937.55
1,2019-01-14,6467.25,6645.0,6506.0,6545.0,,6545.0,6539.7629845589045,5,2.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,6545.0,177.75,379.1136363636364,6545.0,6924.113636363636,6165.886363636364,7151.581818181819,5938.418181818181,7075.75909090909,6014.24090909091
2,2019-01-22,6542.25,6828.25,6543.0,6653.0,,6653.0,6628.046167685795,5,2.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,6653.0,286.0,370.6487603305785,6653.0,7023.648760330579,6282.351239669421,7246.038016528925,6059.961983471075,7171.90826446281,6134.09173553719
3,2019-01-29,6592.25,6810.5,6652.0,6638.75,,6638.75,6647.479027159869,5,2.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,6638.75,218.25,356.79432757325316,6638.75,6995.544327573253,6281.955672426747,7209.6209241172055,6067.8790758827945,7138.262058602554,6139.237941397446
4,2019-02-05,6657.75,7033.75,6690.25,7008.0,,7008.0,6860.678373689,5,9.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,6682.87173457237,376.0,358.5402977938665,6682.87173457237,7041.412032366236,6324.331436778503,7256.536211042556,6109.207258102184,7184.828151483783,6180.915317660957
5,2019-02-12,6841.0,7038.75,7009.25,7018.5,,7018.5,6973.049987263228,5,16.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,6773.10077159042,197.75,343.9229979944241,6773.10077159042,7117.023769584844,6429.177773595996,7323.377568381498,6222.823974799341,7254.592968782614,6291.608574398226
6,2019-02-20,6972.0,7105.0,7017.25,7073.25,,7073.25,7057.252544560516,5,30.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,6872.3520945283135,133.0,324.748179994931,6872.3520945283135,7197.1002745232445,6547.6039145333825,7391.949182520203,6352.755006536424,7326.999546521217,6417.70464253541
7,2019-02-27,7005.0,7168.5,7070.75,7121.75,,7121.75,7124.20229737915,5,51.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,6961.274519741438,163.5,310.08925454084635,6961.274519741438,7271.363774282284,6651.185265200592,7457.417327006792,6465.1317124760835,7395.3994760986225,6527.149563384253
8,2019-03-06,7072.5,7211.5,7121.25,7111.25,,7111.25,7157.941393833214,5,86.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,7025.407761984654,139.0,294.53568594622396,7025.407761984654,7319.9434479308775,6730.87207603843,7496.664859498613,6554.150664470695,7437.757722309368,6613.05780165994
9,2019-03-13,6939.0,7295.5,7109.0,7267.75,,7267.75,7235.500001478635,5,142.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,7094.159921468338,356.5,300.1688054056582,7094.159921468338,7394.328726873997,6793.99111606268,7574.430010117391,6613.889832819285,7514.39624903626,6673.923593900417
10,2019-03-20,7237.75,7458.0,7273.25,7409.5,,7409.5,7336.304267153939,5,233.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,7182.508926289631,220.25,292.90345945968926,7182.508926289631,7475.4123857493205,6889.605466829941,7651.154461425133,6713.863391154128,7592.573769533195,6772.444083046066
11,2019-03-27,7276.0,7544.75,7400.5,7334.5,,7334.5,7377.075225038304,5,380.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,7250.912290742058,268.75,290.7076904178993,7250.912290742058,7541.619981159957,6960.2046003241585,7716.044595410696,6785.779986073419,7657.903057327117,6843.921524156999
12,2019-04-03,7289.5,7616.25,7323.5,7582.25,,7582.25,7485.54908467744,5,618.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,7338.063235268776,326.75,293.98426401627205,7338.063235268776,7632.047499285049,7044.078971252504,7808.4380576948115,6867.688412842741,7749.641204891557,6926.485265645995
13,2019-04-10,7522.0,7646.0,7581.25,7641.25,,7641.25,7580.212825802412,5,1003.0,0.4053667940115862,0.4285286430149396,0.6545155332788781,7433.933912336906,124.0,278.53114910570184,7433.933912336906,7712.465061442608,7155.4027632312045,7879.583750906029,6988.284073767783,7823.877521084889,7043.990303588924
