,date,open,high,low,close,Adj Close,volume
0,2018-12-31,6312.25,6376.75,6283.0,6333.25,6333.25,386061
1,2019-01-02,6349.5,6409.25,6154.0,6371.0,6371.0,659316
2,2019-01-03,6242.75,6304.25,6148.5,6162.0,6162.0,714536
3,2019-01-04,6168.75,6462.0,6136.5,6434.0,6434.0,696539
4,2019-01-07,6451.25,6535.75,6402.5,6496.5,6496.5,516597
5,2019-01-08,6506.0,6586.25,6467.25,6557.25,6557.25,539049
6,2019-01-09,6546.75,6645.0,6546.75,6604.75,6604.75,496789
7,2019-01-10,6597.25,6641.75,6527.5,6625.25,6625.25,496364
8,2019-01-11,6622.5,6632.5,6572.0,6612.75,6612.75,364787
9,2019-01-14,6599.0,6602.5,6521.5,6545.0,6545.0,364990
10,2019-01-15,6543.0,6689.0,6542.25,6676.75,6676.75,492324
11,2019-01-16,6674.5,6737.25,6664.0,6666.25,6666.25,443742
12,2019-01-17,6670.0,6760.0,6612.25,6720.0,6720.0,472761
13,2019-01-18,6722.75,6828.25,6712.0,6792.75,6792.75,499881
14,2019-01-22,6794.5,6794.5,6611.5,6653.0,6653.0,651258
15,2019-01-23,6652.0,6724.25,6592.25,6665.25,6665.25,515044
16,2019-01-24,6663.0,6718.5,6653.0,6675.0,6675.0,449017
17,2019-01-25,6684.5,6810.5,6676.75,6791.25,6791.25,446822
18,2019-01-28,6784.25,6791.0,6648.25,6701.75,6701.75,490045
19,2019-01-29,6695.25,6721.0,6616.75,6638.75,6638.75,441622
20,2019-01-30,6690.25,6845.25,6657.75,6837.25,6837.25,526133
21,2019-01-31,6844.25,6943.0,6839.25,6914.75,6914.75,557023
22,2019-02-01,6911.0,6927.5,6860.5,6877.75,6877.75,461403
23,2019-02-04,6863.75,6983.0,6858.25,6937.5,6937.5,353660
24,2019-02-05,6937.5,7033.75,6928.25,7008.0,7008.0,369764
25,2019-02-06,7009.25,7038.75,6972.25,6995.75,6995.75,376560
26,2019-02-07,6988.0,6994.75,6856.25,6905.5,6905.5,595400
27,2019-02-08,6902.0,6926.25,6841.0,6916.75,6916.75,464342
28,2019-02-11,6921.75,6969.5,6896.25,6914.25,6914.25,384589
29,2019-02-12,6908.5,7028.5,6903.0,7018.5,7018.5,363950
30,2019-02-13,7017.25,7069.75,7012.0,7016.25,7016.25,359971
31,2019-02-14,7017.25,7057.5,6972.0,7019.75,7019.75,490159
32,2019-02-15,7017.5,7095.25,6975.25,7063.75,7063.75,430944
33,2019-02-19,7063.75,7094.75,7035.25,7068.25,7068.25,386613
34,2019-02-20,7068.75,7105.0,7032.25,7073.25,7073.25,418267
35,2019-02-21,7070.75,7113.75,7005.0,7034.5,7034.5,432866
36,2019-02-22,7031.25,7101.25,7019.25,7088.25,7088.25,367501
37,2019-02-25,7108.5,7168.5,7102.0,7125.75,7125.75,346624
38,2019-02-26,7122.0,7151.0,7073.25,7117.75,7117.75,362741
39,2019-02-27,7109.25,7131.75,7048.0,7121.75,7121.75,367938
40,2019-02-28,7121.25,7130.75,7072.5,7102.5,7102.5,360883
41,2019-03-01,7106.5,7164.5,7098.25,7156.0,7156.0,383198
42,2019-03-04,7177.0,7211.5,7074.5,7145.75,7145.75,556660
43,2019-03-05,7144.5,7182.0,7124.25,7165.5,7165.5,364928
44,2019-03-06,7156.0,7171.25,7107.0,7111.25,7111.25,444302
45,2019-03-07,7109.0,7123.25,7003.25,7027.5,7027.5,556540
46,2019-03-08,7025.5,7034.0,6939.0,7026.75,7026.75,312130
47,2019-03-11,7022.25,7176.75,6997.5,7164.75,7164.75,203726
48,2019-03-12,7176.0,7223.0,7163.25,7206.5,7206.5,167990
49,2019-03-13,7209.25,7295.5,7183.75,7267.75,7267.75,127111
50,2019-03-14,7273.25,7293.5,7237.75,7239.75,7239.75,82276
51,2019-03-15,7245.75,7288.0,7243.0,7270.35009765625,7270.35009765625,412124
52,2019-03-18,7338.0,7379.5,7321.75,7360.75,7360.75,366874
53,2019-03-19,7362.25,7421.25,7351.25,7376.5,7376.5,427134
54,2019-03-20,7378.0,7458.0,7349.5,7409.5,7409.5,550615
55,2019-03-21,7400.5,7541.0,7367.75,7534.5,7534.5,523249
56,2019-03-22,7526.75,7544.75,7353.0,7368.75,7368.75,694561
57,2019-03-25,7372.25,7390.5,7290.0,7355.25,7355.25,596897
58,2019-03-26,7363.0,7447.5,7340.5,7376.75,7376.75,557412
59,2019-03-27,7383.5,7404.75,7276.0,7334.5,7334.5,592979
