Datetime,Open,High,Low,Close,Adj Close,Volume
2021-05-09 18:00:00-04:00,13718.0,13738.25,13711.0,13737.0,13737.0,1089
2021-05-09 18:05:00-04:00,13737.25,13742.0,13734.25,13739.5,13739.5,415
2021-05-09 18:10:00-04:00,13740.25,13741.25,13736.25,13737.0,13737.0,235
2021-05-09 18:15:00-04:00,13737.25,13739.25,13731.75,13733.75,13733.75,297
2021-05-09 18:20:00-04:00,13733.75,13738.25,13733.75,13736.5,13736.5,150
2021-05-09 18:25:00-04:00,13736.25,13736.25,13729.0,13732.75,13732.75,242
2021-05-09 18:30:00-04:00,13732.5,13737.25,13731.0,13736.0,13736.0,139
2021-05-09 18:35:00-04:00,13736.5,13740.0,13733.5,13734.75,13734.75,174
2021-05-09 18:40:00-04:00,13734.75,13741.25,13734.75,13736.5,13736.5,185
2021-05-09 18:45:00-04:00,13736.25,13738.5,13735.5,13738.0,13738.0,112
2021-05-09 18:50:00-04:00,13737.5,13741.0,13737.5,13738.0,13738.0,175
2021-05-09 18:55:00-04:00,13738.0,13739.0,13735.25,13737.0,13737.0,171
2021-05-09 19:00:00-04:00,13737.0,13738.0,13734.0,13737.0,13737.0,134
2021-05-09 19:05:00-04:00,13737.5,13737.75,13730.25,13733.25,13733.25,255
2021-05-09 19:10:00-04:00,13734.0,13739.75,13733.0,13737.75,13737.75,277
2021-05-09 19:15:00-04:00,13736.75,13738.0,13735.5,13736.75,13736.75,84
2021-05-09 19:20:00-04:00,13737.0,13741.0,13736.0,13739.0,13739.0,177
2021-05-09 19:25:00-04:00,13738.5,13740.0,13738.25,13739.5,13739.5,112
2021-05-09 19:30:00-04:00,13739.5,13740.0,13737.75,13739.25,13739.25,105
2021-05-09 19:35:00-04:00,13738.5,13740.25,13737.25,13737.5,13737.5,83
2021-05-09 19:40:00-04:00,13737.25,13739.75,13736.75,13738.25,13738.25,97
2021-05-09 19:45:00-04:00,13737.75,13738.25,13735.5,13736.5,13736.5,94
2021-05-09 19:50:00-04:00,13736.0,13746.0,13735.5,13742.5,13742.5,585
2021-05-09 19:55:00-04:00,13742.75,13743.0,13738.75,13739.0,13739.0,153
2021-05-09 20:00:00-04:00,13738.75,13739.75,13726.0,13733.0,13733.0,895
2021-05-09 20:05:00-04:00,13732.5,13738.75,13728.75,13737.0,13737.0,622
