,date,low,high,open,close,SMA,FRAMA,WMA,TEMA,ATR_diff,ATR,Line,line_change,change_SMA,upper_band,lower_band,upper_band_1,lower_band_1,upper_band_2,lower_band_2
0,1/10/2019,6136.5,6645,6168.75,6625.25,,6625.25,,6625.25,508.5,508.5,,,,,,,,,
1,1/17/2019,6521.5,6760,6622.5,6720,,6720,,6709.768923,238.5,483.9545455,,,,,,,,,
2,1/25/2019,6592.25,6828.25,6722.75,6791.25,,6791.25,,6778.185643,236,461.4132231,,,,,,,,,
3,2/1/2019,6616.75,6943,6784.25,6877.75,,6877.75,,6854.335671,326.25,449.1256574,,,,,,,,,
4,2/8/2019,6841,7038.75,6863.75,6916.75,,6916.75,,6907.074172,197.75,426.2733249,,,,,,,,,
5,2/15/2019,6896.25,7095.25,6921.75,7063.75,,7063.75,,7005.262256,199,405.6121136,,,,,,,,,
6,2/25/2019,7005,7168.5,7063.75,7125.75,,7125.75,,7086.562804,163.5,383.6019214,,,,,,,,,
7,3/4/2019,7048,7211.5,7122,7145.75,,7145.75,,7141.036827,163.5,363.5926558,,,,,,,,,
8,3/11/2019,6939,7182,7144.5,7164.75,,7164.75,,7179.882833,243,352.6296871,,,,,,,,,
9,3/18/2019,7163.25,7379.5,7176,7360.75,,7360.75,,7277.009077,216.25,340.2315337,,,,,,,,,
10,3/25/2019,7290,7544.75,7362.25,7355.25,,7355.25,,7338.529967,254.75,332.4604852,,,,,,,,,
11,4/1/2019,7276,7506.5,7363,7498.5,,7498.5,,7428.342892,230.5,323.1913502,,,,,,,,,
12,4/8/2019,7483.75,7629.25,7495.25,7623.5,,7623.5,,7531.547914,145.5,307.0375911,,,,,,,,,
13,4/15/2019,7575.75,7665,7625.75,7647.75,,7647.75,,7611.274921,89.25,287.2387192,,,,,,,,,
14,4/23/2019,7648.75,7843.75,7650.75,7838,,7838,,7726.841105,195,278.8533811,,,,,,,,,
15,4/30/2019,7740,7879.5,7833.5,7800,,7800,,7797.876891,139.5,266.1848919,,,,,,,,,
16,5/7/2019,7581.25,7872.5,7848.75,7674,,7674,,7809.244967,291.25,268.4635381,,,,,,,,,
17,5/14/2019,7290,7698,7663.75,7421,,7421,,7738.348641,408,281.148671,,,,,,,,,
18,5/21/2019,7353.75,7641,7429.25,7464,,7464,,7691.989474,287.25,281.7033373,,,,,,,,,
19,5/29/2019,7183.25,7475,7462.75,7216,,7216,,7581.407929,291.75,282.6166702,,,,,,,,,
20,6/5/2019,6941.25,7271.25,7214.75,7228.5,7264.678571,7221.571944,7408.904762,7495.699337,330,286.9242457,7408.904762,,,7695.829008,7121.980516,7867.983555,6949.825969,7810.598706,7007.210818
