,date,close,open,high,low,change_SMA
0,2010-12-17,,,,,
1,2011-01-03,,,,,
2,2011-01-18,,,,,
3,2011-02-01,,,,,
4,2011-02-15,,,,,
5,2011-03-02,,,,,
6,2011-03-16,,,,,
7,2011-03-30,,,,,
8,2011-04-13,,,,,
9,2011-04-28,,,,,
10,2011-05-12,,,,,
11,2011-05-26,,,,,
12,2011-06-10,,,,,
13,2011-06-24,,,,,
14,2011-07-11,,,,,
15,2011-07-25,,,,,
16,2011-08-08,,,,,
17,2011-08-22,,,,,
18,2011-09-06,,,,,
19,2011-09-20,,,,,
20,2011-10-04,,,,,
21,2011-10-18,8.409437567640452,8.409437567640452,8.409437567640452,8.409437567640452,
22,2011-11-01,2.322510822511049,2.322510822511049,2.322510822511049,2.322510822511049,
23,2011-11-15,7.206709956709801,7.206709956709801,7.206709956709801,7.206709956709801,
24,2011-12-01,2.4902597402597166,2.4902597402597166,2.4902597402597166,2.4902597402597166,
25,2011-12-15,-4.929653679653711,-4.929653679653711,-4.929653679653711,-4.929653679653711,
26,2011-12-30,0.05735930735954753,0.05735930735954753,0.05735930735954753,0.05735930735954753,
27,2012-01-17,10.745670995670935,10.745670995670935,10.745670995670935,10.745670995670935,
28,2012-01-31,16.744588744588782,16.744588744588782,16.744588744588782,16.744588744588782,
29,2012-02-14,26.34199134199116,26.34199134199116,26.34199134199116,26.34199134199116,
30,2012-02-29,29.456709956710256,29.456709956710256,29.456709956710256,29.456709956710256,
31,2012-03-14,36.067099567099376,36.067099567099376,36.067099567099376,36.067099567099376,
32,2012-03-28,40.38528138528136,40.38528138528136,40.38528138528136,40.38528138528136,
33,2012-04-12,35.80952380952385,35.80952380952385,35.80952380952385,35.80952380952385,
34,2012-04-26,31.887445887445665,31.887445887445665,31.887445887445665,31.887445887445665,
35,2012-05-10,20.441558441558755,20.441558441558755,20.441558441558755,20.441558441558755,
36,2012-05-24,11.851731601731444,11.851731601731444,11.851731601731444,11.851731601731444,
37,2012-06-08,13.75,13.75,13.75,13.75,
38,2012-06-22,12.47943722943728,12.47943722943728,12.47943722943728,12.47943722943728,
39,2012-07-10,10.596320346320226,10.596320346320226,10.596320346320226,10.596320346320226,
40,2012-07-24,6.127705627705836,6.127705627705836,6.127705627705836,6.127705627705836,
41,2012-08-07,19.71861471861439,19.71861471861439,19.71861471861439,19.71861471861439,16.093347779452674
42,2012-08-21,22.954545454545496,22.954545454545496,22.954545454545496,22.954545454545496,16.785971964543393
43,2012-09-05,20.58766233766255,20.58766233766255,20.58766233766255,20.58766233766255,17.65574108431251
44,2012-09-19,26.89718614718595,26.89718614718595,26.89718614718595,26.89718614718595,18.59338280766852
45,2012-10-03,20.09956709956714,20.09956709956714,20.09956709956714,20.09956709956714,19.431921253349824
46,2012-10-17,14.53138528138561,14.53138528138561,14.53138528138561,14.53138528138561,20.358637394351696
47,2012-11-02,0.40584415584407907,0.40584415584407907,0.40584415584407907,0.40584415584407907,20.375231910946198
48,2012-11-16,-10.998917748917847,-10.998917748917847,-10.998917748917847,-10.998917748917847,19.339775304061018
49,2012-12-04,0.3354978354977902,0.3354978354977902,0.3354978354977902,0.3354978354977902,18.55839002267573
50,2012-12-18,3.059523809523853,3.059523809523853,3.059523809523853,3.059523809523853,17.44970109255824
51,2013-01-04,3.3235930735932016,3.3235930735932016,3.3235930735932016,3.3235930735932016,16.205266955266953
52,2013-01-18,4.820346320346289,4.820346320346289,4.820346320346289,4.820346320346289,14.717326324469187
53,2013-02-04,2.6785714285711038,2.6785714285711038,2.6785714285711038,2.6785714285711038,12.921768707482984
54,2013-02-19,9.218614718614845,9.218614718614845,9.218614718614845,9.218614718614845,11.655534941249222
55,2013-03-05,10.627705627705836,10.627705627705836,10.627705627705836,10.627705627705836,10.643166357452087
56,2013-03-19,8.58549783549779,8.58549783549779,8.58549783549779,8.58549783549779,10.078592042877755
57,2013-04-03,8.571428571428442,8.571428571428442,8.571428571428442,8.571428571428442,9.92238713667285
58,2013-04-17,6.349567099567139,6.349567099567139,6.349567099567139,6.349567099567139,9.56998556998557
59,2013-05-01,13.52272727272748,13.52272727272748,13.52272727272748,13.52272727272748,9.619666048237486
60,2013-05-15,24.767316017315807,24.767316017315807,24.767316017315807,24.767316017315807,10.294475365903942
61,2013-05-30,23.754329004329065,23.754329004329065,23.754329004329065,23.754329004329065,11.13383838383838
62,2013-06-13,17.415584415584362,17.415584415584362,17.415584415584362,17.415584415584362,11.024170274170285
63,2013-06-27,10.619047619047706,10.619047619047706,10.619047619047706,10.619047619047706,10.436765615337057
64,2013-07-15,25.84848484848453,25.84848484848453,25.84848484848453,25.84848484848453,10.687280972995246
65,2013-07-29,23.84415584415592,23.84415584415592,23.84415584415592,23.84415584415592,10.541898577612864
66,2013-08-12,28.268398268398414,28.268398268398414,28.268398268398414,28.268398268398414,10.9308905380334
67,2013-08-26,26.627705627705836,26.627705627705836,26.627705627705836,26.627705627705836,11.506905792620078
68,2013-09-10,30.724025974025608,30.724025974025608,30.724025974025608,30.724025974025608,12.950628736343008
69,2013-09-24,31.15151515151547,31.15151515151547,31.15151515151547,31.15151515151547,14.957792207792213
70,2013-10-08,22.524891774891785,22.524891774891785,22.524891774891785,22.524891774891785,16.014430014430022
71,2013-10-22,39.124458874458924,39.124458874458924,39.124458874458924,39.124458874458924,17.731807874665027
72,2013-11-05,38.4134199134196,38.4134199134196,38.4134199134196,38.4134199134196,19.402752009894854
73,2013-11-19,35.14069264069258,35.14069264069258,35.14069264069258,35.14069264069258,20.84657802514944
74,2013-12-05,41.74891774891785,41.74891774891785,41.74891774891785,41.74891774891785,22.707070707070713
75,2013-12-19,40.08658008657994,40.08658008657994,40.08658008657994,40.08658008657994,24.176973819830955
76,2014-01-07,41.6904761904766,41.6904761904766,41.6904761904766,41.6904761904766,25.65615337043909
77,2014-01-22,44.964285714285325,44.964285714285325,44.964285714285325,44.964285714285325,27.388476602762303
78,2014-02-05,25.41450216450221,25.41450216450221,25.41450216450221,25.41450216450221,28.190527726242006
79,2014-02-20,43.10930735930742,43.10930735930742,43.10930735930742,43.10930735930742,29.940991548134402
80,2014-03-06,43.81709956709983,43.81709956709983,43.81709956709983,43.81709956709983,31.383580705009276
81,2014-03-20,38.00974025974028,38.00974025974028,38.00974025974028,38.00974025974028,32.01417233560092
82,2014-04-03,28.78354978354946,28.78354978354946,28.78354978354946,28.78354978354946,32.25365903937332
83,2014-04-17,16.3235930735932,16.3235930735932,16.3235930735932,16.3235930735932,32.20165945165945
84,2014-05-02,18.98593073593065,18.98593073593065,18.98593073593065,18.98593073593065,32.600082457225305
