,date,upper_band,Line,etf,etf_line,etf_upper
49,2021-07-26,15168.115500359188,14670.298121339056,137.1300048828125,124.77560523220102,138.31635691637823
50,2021-08-02,15319.866779860919,14822.049400840786,137.1300048828125,128.90327630212963,142.4440279863069
51,2021-08-09,15473.187792345574,14975.370413325441,137.1300048828125,133.07364448434896,146.61439616852627
52,2021-08-16,15628.094775314716,15130.277396294583,137.1300048828125,137.28715144278198,150.82790312695923
53,2021-08-23,15784.604134232517,15286.786755212384,137.1300048828125,141.54424340997508,155.08499509415233
54,2021-08-30,15942.732444263196,15444.915065243064,137.1300048828125,145.84537123435626,159.38612291853352
55,2021-09-06,16102.496452026404,15604.679073006271,137.1300048828125,150.19099042798248,163.73174211215974
56,2021-09-13,16263.913077370786,15766.095698350653,137.1300048828125,154.58156121478044,168.1223128989578
57,2021-09-20,16426.99941516588,15929.182036145747,137.1300048828125,159.0175485792873,172.5583002634646
58,2021-09-27,16591.772737112555,16093.95535809242,137.1300048828125,163.49942231589438,177.04017400007174
59,2021-10-04,16758.25049357217,16260.433114552037,137.1300048828125,168.02765707860132,181.56840876277857
60,2021-10-11,16926.45031541467,16428.632936394537,137.1300048828125,172.60273243128404,186.14348411546132
61,2021-10-18,17096.390015885772,16598.57263686564,137.1300048828125,177.2251328984835,190.7658845826608
62,2021-10-25,17268.087592493495,16770.270213473363,137.1300048828125,181.89534801671897,195.43609970089622
63,2021-11-01,17441.561228914186,16943.743849894054,137.1300048828125,186.61387238633296,200.1546240705102
64,2021-11-08,17616.829296918266,17119.011917898133,137.1300048828125,191.3812057238715,204.92195740804874
65,2021-11-15,17793.910358315898,17296.092979295765,137.1300048828125,196.19785291500722,209.7386045991845
66,2021-11-22,17972.82316692278,17475.005787902646,137.1300048828125,201.06432406800914,214.6050757521864
67,2021-11-29,18153.58667054627,17655.769291526136,137.1300048828125,205.98113456776582,219.52188625194316
68,2021-12-06,18336.220012992064,17838.40263397193,137.1300048828125,210.94880513036748,224.48955681454484
69,2021-12-13,,18022.925157071495,137.1300048828125,215.96786185825252,
