,date,low,high,open,close,SMA,FRAMA,WMA,TEMA,ATR_diff,ATR,Line,line_change,change_SMA,upper_band,lower_band,upper_band_1,lower_band_1,upper_band_2,lower_band_2,recent_px,dist_to_upper,dist_to_line,etf,etf_upper,etf_line
0,2020-07-13,10505.25,11058.5,10600.0,10600.0,,10600.0,,10600.0,553.25,553.25,,,,,,,,,,14841.5,,,129.3000030517578,,
1,2020-07-20,10358.75,10964.5,10602.0,10951.0,,10951.0,,10913.099125364435,605.75,558.0227272727273,,,,,,,,,,14841.5,,,129.3000030517578,,
2,2020-07-27,10301.0,11058.0,10952.25,10675.25,,10675.25,,10764.676364743991,757.0,576.1115702479339,,,,,,,,,,14841.5,,,129.3000030517578,,
3,2020-08-03,10502.75,11073.0,10682.5,11044.25,,11044.25,,10943.806788111564,570.25,575.5787002253944,,,,,,,,,,14841.5,,,129.3000030517578,,
4,2020-08-10,10928.25,11283.25,11054.0,11072.0,,11072.0,,11036.996934446901,355.0,555.5260911139949,,,,,,,,,,14841.5,,,129.3000030517578,,
5,2020-08-17,10845.5,11300.5,11072.25,11286.75,,11286.75,,11189.335061694443,455.0,546.3873555581771,,,,,,,,,,14841.5,,,129.3000030517578,,
6,2020-08-24,11221.5,11722.5,11285.5,11636.25,,11636.25,,11432.991580675789,501.0,542.2612323256155,,,,,,,,,,14841.5,,,129.3000030517578,,
7,2020-08-31,11574.75,12165.0,11636.0,12114.0,,12114.0,,11780.861651057941,590.25,546.6238475687413,,,,,,,,,,14841.5,,,129.3000030517578,,
8,2020-09-08,11040.5,12465.25,12109.75,11060.5,,11060.5,11326.566666666668,11572.28071708757,1424.75,626.4534977897648,11326.566666666668,,,11953.020164456433,10700.113168876902,12328.892263130292,10324.241070203043,12767.409711583126,9885.723621750209,14841.5,-0.19462182633450575,-0.2368314074273714,129.3000030517578,53.80619483478699,37.43309794242415
9,2020-09-15,10935.25,11566.75,11006.0,11464.25,,11464.25,11387.416666666666,11578.07729204007,631.5,626.912270717968,11387.416666666666,1.0053723252412468,1.0053723252412468,12014.328937384635,10760.504395948697,12390.476299815415,10384.357033517917,12829.314889317993,9945.518444015339,14841.5,-0.1904909249479746,-0.2327314175341666,129.3000030517578,55.40857152044196,39.02348405953482
10,2020-09-22,10656.5,11550.0,11467.5,11149.5,,11149.5,11366.111111111111,11462.06347739547,893.5,651.1475188345164,11366.111111111111,0.9981290264351246,0.9981290264351248,12017.258629945627,10714.963592276596,12407.947141246337,10324.275080975885,12863.750404430499,9868.471817791724,14841.5,-0.19029352626448626,-0.23416695676911958,129.3000030517578,55.48514247157433,38.46663837715381
11,2020-09-29,10660.25,11448.75,11160.5,11337.75,,11337.75,11378.044444444444,11441.42019341713,788.5,663.6341080313784,11378.044444444444,1.0010499046874235,1.0010499046874237,12041.678552475822,10714.410336413066,12439.85901729465,10316.229871594238,12904.402892916614,9851.685995972273,14841.5,-0.18864814523627516,-0.23336290506724766,129.3000030517578,56.123385787481325,38.77853003967124
12,2020-10-06,11167.0,11604.75,11321.0,11273.75,,11273.75,11362.455555555556,11402.148816520807,437.75,643.0991891194349,11362.455555555556,0.9986299149238691,0.9986299149238693,12005.554744674992,10719.35636643612,12391.414258146651,10333.496852964461,12841.583690530257,9883.327420580856,14841.5,-0.19108211806926578,-0.23441326310982336,129.3000030517578,55.17924770328057,38.37109614533981
13,2020-10-13,11208.0,12249.0,11220.5,12094.0,,12094.0,11505.816666666668,11638.875178130616,1041.0,679.2719901085771,11505.816666666668,1.0126170888334975,1.0126170888334978,12185.088656775244,10826.544676558091,12592.651850840391,10418.981482492944,13068.142243916394,9943.49108941694,14841.5,-0.1789853682730692,-0.22475378724073258,129.3000030517578,59.87157705997428,42.118006923395264
14,2020-10-20,11591.25,12178.0,12079.75,11660.75,,11660.75,11539.816666666668,11675.682212210848,586.75,670.8609000987065,11539.816666666668,1.0029550270949912,1.0029550270949912,12210.677566765375,10868.95576656796,12613.194106824598,10466.439226508737,13082.796736893692,9996.836596439643,14841.5,-0.17726122246636966,-0.22246291367673976,129.3000030517578,60.54037323417806,43.00663679984166
