,date,low,high,open,close,SMA,FRAMA,WMA,TEMA,ATR_diff,ATR,Line,line_change,change_SMA,upper_band,lower_band,upper_band_1,lower_band_1,upper_band_2,lower_band_2
0,2020-07-10,10308.75,10847.5,10352.0,10837.25,,10837.25,,10837.25,538.75,538.75,,,,,,,,,
1,2020-07-17,10358.75,11058.5,10848.25,10622.5,,10622.5,,10645.688640535578,699.75,553.3863636363636,,,,,,,,,
2,2020-07-24,10301.0,11058.0,10621.25,10459.0,,10459.0,,10489.124189692917,757.0,571.896694214876,,,,,,,,,
3,2020-07-31,10401.0,10939.0,10490.0,10890.5,,10890.5,,10715.91672039532,538.0,568.8151765589781,,,,,,,,,
4,2020-08-07,10876.25,11283.25,10933.25,11122.75,,11122.75,,10950.803309222634,407.0,554.1047059627074,,,,,,,,,
5,2020-08-14,10845.5,11266.0,11140.25,11133.75,,11133.75,,11075.819340642036,420.5,541.9588236024613,,,,,,,,,
6,2020-08-21,11142.25,11573.5,11145.0,11562.0,,11562.0,,11340.296958065546,431.25,531.8943850931466,,,,,,,,,
7,2020-08-28,11528.25,12046.0,11581.0,11991.75,,11991.75,,11680.446156749442,517.75,530.6085319028606,,,,,,,,,
8,2020-09-04,11142.0,12465.25,12002.75,11548.75,,11548.75,11338.761111111111,11712.68709717381,1323.25,602.6668471844187,11338.761111111111,,,11941.42795829553,10736.094263926692,12303.02806660618,10374.494155616041,12724.894859635275,9952.627362586947
9,2020-09-14,10935.25,11585.0,11531.0,11280.5,,11280.5,11368.9,11622.517519753237,649.75,606.947133804017,11368.9,1.002658040732453,1.002658040732453,11975.847133804016,10761.952866195983,12340.015414086427,10397.784585913572,12764.878407749238,9972.921592250761
10,2020-09-21,10656.5,11550.0,11278.5,10989.0,,10989.0,11330.888888888889,11446.512305287366,893.5,632.9973943672882,11330.888888888889,0.9966565708985821,0.9966565708985822,11963.886283256177,10697.8914945216,12343.68471987655,10318.093057901227,12786.782895933651,9874.994881844126
11,2020-09-28,10660.25,11404.0,10966.25,11394.75,,11394.75,11365.883333333333,11458.32475873489,743.75,643.0658130611711,11365.883333333333,1.0030884112259506,1.0030884112259506,12008.949146394505,10722.817520272161,12394.788634231207,10336.97803243546,12844.934703374027,9886.83196329264
12,2020-10-05,11167.0,11604.75,11388.0,11469.25,,11469.25,11394.983333333334,11488.56649715251,437.75,624.4007391465191,11394.983333333334,1.0025602937445837,1.0025602937445837,12019.384072479852,10770.582594186815,12394.024515967763,10395.942150698904,12831.105033370328,9958.86163329634
13,2020-10-12,11197.5,12197.0,11473.0,12098.25,,12098.25,11537.022222222222,11713.068745031189,999.5,658.5006719513809,11537.022222222222,1.0124650370021504,1.0124650370021504,12195.522894173602,10878.521550270842,12590.623297344431,10483.421147100013,13051.573767710397,10022.470676734047
14,2020-10-19,11591.25,12249.0,12100.0,11650.25,,11650.25,11567.783333333333,11734.938455183288,657.75,658.4324290467099,11567.783333333333,1.002666295558646,1.002666295558646,12226.215762380043,10909.350904286623,12621.275219808069,10514.291446858597,13082.177920140766,10053.3887465259
15,2020-10-26,11343.25,11792.0,11697.5,11492.25,,11492.25,11555.466666666667,11698.39266276005,448.75,639.3703900424634,11555.466666666667,0.9989352612932182,0.9989352612932181,12194.83705670913,10916.096276624205,12578.459290734609,10532.474042598726,13026.018563764334,10084.914769569
16,2020-11-02,10942.25,11623.0,11499.5,11063.25,,11063.25,11458.9,11536.902586510978,680.75,643.1321727658758,11458.9,0.9916432049477303,0.9916432049477301,12102.032172765876,10815.767827234124,12487.9114764254,10429.888523574598,12938.103997361513,9979.696002638486
17,2020-11-09,11064.5,12408.75,11074.75,11820.5,,11820.5,11534.416666666666,11634.831284260768,1344.25,706.8701570598871,11534.416666666666,1.0065902195382337,1.0065902195382335,12241.286823726554,10827.546509606778,12665.408917962486,10403.424415370846,13160.218027904406,9908.615305428926
18,2020-11-16,11503.25,12065.0,11863.5,12005.0,,12005.0,11640.794444444444,11762.744687148353,561.75,693.6774155089884,11640.794444444444,1.0092226404552558,1.0092226404552556,12334.471859953432,10947.117028935456,12750.678309258825,10530.910579630063,13236.252500115117,10045.33638877377
19,2020-11-23,11804.5,12096.25,12061.25,11905.25,,11905.25,11711.122222222222,11831.58354097154,291.75,657.1385595536258,11711.122222222222,1.006041492967977,1.0060414929679768,12368.260781775847,11053.983662668597,12762.543917508023,10659.700526936422,13222.54090919556,10199.703535248884
20,2020-12-02,11872.75,12512.25,11909.75,12454.25,11418.607142857143,11948.731973570499,11870.888888888889,12038.392616932751,639.5,655.5350541396598,11870.888888888889,1.0136423020471517,1.0136423020471514,12526.423943028549,11215.353834749229,12919.744975512345,10822.032802265432,13378.619513410105,10363.158264367672
21,2020-12-09,12306.75,12675.0,12472.0,12367.0,11491.452380952382,11981.859695374857,11989.66111111111,12174.030413443026,368.25,629.4182310360544,11989.66111111111,1.0100053351803666,1.0100053351803666,12619.079342147164,11360.242880075057,12996.730280768797,10982.591941453424,13437.323042494036,10541.999179728185
22,2020-12-16,12218.25,12699.75,12342.75,12665.25,11588.72619047619,12023.726873042904,12148.133333333333,12360.082127544878,481.5,615.9711191236858,12148.133333333333,1.0132174062931072,1.0132174062931072,12764.104452457019,11532.162214209648,13133.687123931231,11162.579542735435,13564.86690731781,10731.399759348857
23,2020-12-23,12461.0,12823.0,12677.0,12651.25,11693.119047619048,12049.534363394663,12291.205555555556,12499.833238600306,362.0,592.882835566987,12291.205555555556,1.011777300947928,1.0117773009479278,12884.088391122543,11698.32271998857,13239.818092462736,11342.593018648377,13654.836077359627,10927.575033751486
24,2021-01-04,12522.5,12959.75,12676.25,12685.5,11778.595238095239,12076.493907170654,12418.883333333333,12615.6272286378,437.25,578.7343959699881,12418.883333333333,1.0103877343195247,1.0103877343195242,12997.617729303322,11840.148937363345,13344.858366885313,11492.908299781353,13749.972444064306,11087.79422260236
25,2021-01-11,12491.25,13125.0,12682.75,12897.0,11863.083333333334,12122.735516609133,12562.344444444445,12759.859969781886,633.75,583.735814518171,12562.344444444445,1.011551852711753,1.0115518527117529,13146.080258962616,11978.608629926273,13496.321747673519,11628.36714121537,13904.936817836238,11219.752071052651
26,2021-01-19,12727.0,13032.75,12910.75,12985.5,11951.261904761905,12486.213946769283,12682.755555555555,12893.679395202425,305.75,558.4643768347008,12682.755555555555,1.0095850827561381,1.009585082756138,13241.219932390257,12124.291178720854,13576.298558491077,11789.212552620034,13967.223622275367,11398.287488835744
27,2021-01-26,13017.0,13599.75,13030.0,13485.5,12042.857142857143,13095.847533280743,12877.277777777777,13128.094140087851,582.75,560.6721607588189,12877.277777777777,1.0153375361821124,1.015337536182112,13437.949938536596,12316.605617018959,13774.353234991888,11980.202320563667,14166.82374752306,11587.731808032495
28,2021-02-02,12727.25,13586.5,13551.0,13449.0,12112.25,13311.294956143676,13031.6,13301.299041392562,859.25,587.8156006898354,13031.6,1.0119840718578375,1.0119840718578372,13619.415600689836,12443.784399310165,13972.104961103738,12091.095038896263,14383.575881586621,11679.62411841338
29,2021-02-09,13345.25,13735.25,13506.0,13680.25,12213.75,13680.25,13197.866666666667,13494.923478282908,390.0,569.8323642634867,13197.866666666667,1.0127587300612868,1.0127587300612864,13767.699030930153,12628.03430240318,14109.598449488245,12286.134883845089,14508.481104472687,11887.252228860647
30,2021-02-17,13516.75,13900.5,13698.0,13699.75,12328.952380952382,13695.960842990336,13340.788888888888,13649.357031439798,383.75,552.9157856940789,13340.788888888888,1.0108291912497642,1.0108291912497638,13893.704674582967,12787.87310319481,14225.454145999414,12456.123631778362,14612.49519598527,12069.082581792507
31,2021-02-24,12757.25,13729.0,13699.5,13302.0,12439.095238095239,13302.0,13374.544444444444,13663.336136639666,971.75,590.9916233582535,13374.544444444444,1.0025302518341828,1.0025302518341825,13965.536067802697,12783.55282108619,14320.131041817649,12428.957847071239,14733.825178168427,12015.263710720461
32,2021-03-03,12662.25,13353.75,13304.75,12681.75,12500.380952380952,12703.170976587051,13270.1,13506.00391715624,691.5,600.1287485075031,13270.1,0.9921908035912335,0.9921908035912332,13870.228748507503,12669.971251492498,14230.305997612006,12309.894002387995,14650.396121567257,11889.803878432744
33,2021-03-10,12207.25,12993.25,12682.0,12749.25,12561.333333333334,12749.25,13178.477777777778,13387.73996431574,786.0,617.026135006821,13178.477777777778,0.9930955891649481,0.9930955891649478,13795.5039127846,12561.451642770957,14165.719593788692,12191.235961766864,14597.637888293466,11759.31766726209
34,2021-03-17,12724.25,13298.0,12795.25,13201.5,12613.869047619048,13197.25420392969,13175.888888888889,13401.256111302902,573.75,613.0919409152918,13175.888888888889,0.9998035517506236,0.9998035517506233,13788.98082980418,12562.796947973597,14156.835994353356,12194.941783424421,14586.00035299406,11765.777424783717
35,2021-03-24,12732.75,13279.0,13200.5,12794.0,12668.333333333334,12957.709760271387,13085.033333333333,13302.510857378764,546.25,607.0154008320834,13085.033333333333,0.9931044078830861,0.9931044078830857,13692.048734165417,12478.017932501249,14056.257974664666,12113.808692002,14481.168755247125,11688.89791141954
36,2021-03-31,12609.75,13158.0,12803.0,13089.75,12744.404761904761,13006.561653841622,13057.583333333334,13292.428208474676,548.25,601.6730916655304,13057.583333333334,0.9979021834105632,0.9979021834105629,13659.256424998865,12455.910241667803,14020.260279998183,12094.906386668485,14441.431444164053,11673.735222502615
37,2021-04-08,13090.25,13789.75,13094.5,13747.75,12872.238095238095,13073.63219675135,13170.527777777777,13447.667776440054,699.5,610.566446968664,13170.527777777777,1.008649720362582,1.0086497203625815,13781.09422474644,12559.961330809114,14147.43409292764,12193.621462627914,14574.830605805704,11766.22494974985
