,date,low,high,open,close,SMA,FRAMA,WMA,TEMA,ATR_diff,ATR,Line,line_change,change_SMA,upper_band,lower_band,upper_band_1,lower_band_1,upper_band_2,lower_band_2,recent_px,dist_to_upper,dist_to_line
0,1/10/2020,8678,9055.5,8772.25,8978.25,,8978.25,,8978.25,377.5,377.5,,,,,,,,,,14713.75,,
1,1/17/2020,8979,9189.25,8979,9174.5,,9174.5,,9153.308984,210.25,362.2954545,,,,,,,,,,14713.75,,
2,1/27/2020,8925.5,9287.25,9174,8954.5,,8954.5,,9021.309297,361.75,362.2458678,,,,,,,,,,14713.75,,
3,2/3/2020,8952.5,9248.75,8952.5,9114.25,,9114.25,,9075.460441,296.25,356.2462434,,,,,,,,,,14713.75,,
4,2/10/2020,9073,9531.5,9099,9527.5,,9527.5,,9331.475011,458.5,365.5420395,,,,,,,,,,14713.75,,
5,2/18/2020,9501.25,9687.5,9525,9636,,9636,,9516.483799,186.25,349.2427632,,,,,,,,,,14713.75,,
6,2/25/2020,8810,9763,9643.25,8854.25,,8854.25,,9255.459494,953,404.1297847,,,,,,,,,,14713.75,,
7,3/3/2020,8126.25,9037.5,8868.25,8582.5,,8582.5,,8974.602415,911.25,450.2316224,,,,,,,,,,14713.75,,
8,3/10/2020,7814.25,8950,8557.5,8331.5,,8331.5,8927.211111,8692.556174,1135.75,512.551475,8927.211111,,,9439.762586,8414.659636,9747.293471,8107.128751,10106.0795,7748.342719,14713.75,-0.358439379,-0.393274243
9,3/17/2020,6927,8334.25,8317,7405.25,,7405.25,8604.855556,8153.539914,1407.25,593.8877045,8604.855556,0.963890676,0.963890676,9198.74326,8010.967851,9555.075883,7654.635228,9970.797276,7238.913835,14713.75,-0.37481993,-0.415182699
10,3/24/2020,6628.75,7649,7386,7554.75,,7554.75,8347.355556,7842.035058,1020.25,632.6479132,8347.355556,0.970075035,0.970075035,8980.003469,7714.707642,9359.592217,7335.118894,9802.445756,6892.265355,14713.75,-0.389686282,-0.432683337
11,3/31/2020,7310.25,7995,7544.75,7786.25,,7786.25,8172.15,7712.141862,684.75,637.3844665,8172.15,0.979010651,0.979010651,8809.534467,7534.765533,9191.965146,7152.334854,9638.134273,6706.165727,14713.75,-0.401271976,-0.444590944
12,4/7/2020,7376,8303.25,7772.5,8012,,8012,8068.055556,7704.969781,927.25,663.7358787,8068.055556,0.987262294,0.987262294,8731.791434,7404.319677,9130.032961,7006.07815,9594.648076,6541.463035,14713.75,-0.406555675,-0.451665581
13,4/15/2020,7953.25,8710,8015,8594,,8594,8104.855556,7899.617922,756.75,672.1917079,8104.855556,1.004561198,1.004561198,8777.047263,7432.663848,9180.362288,7029.348823,9650.896484,6558.814627,14713.75,-0.403479924,-0.449164519
14,4/22/2020,8342,8966.75,8576,8638,,8638,8171.2,8066.960033,624.75,667.8788253,8171.2,1.008185765,1.008185765,8839.078825,7503.321175,9239.806121,7102.593879,9707.321298,6635.078702,14713.75,-0.399264034,-0.444655509
15,4/29/2020,8498.25,9118.75,8636.25,9036.5,,9036.5,8339.422222,8322.491655,620.5,663.5716594,8339.422222,1.020587211,1.020587211,9002.993882,7675.850563,9401.136877,7277.707567,9865.637039,6813.207406,14713.75,-0.38812377,-0.433222515
16,5/6/2020,8556.25,9144.75,9109.5,8952,,8952,8486.694444,8495.527403,588.5,656.7469631,8486.694444,1.017659763,1.017659763,9143.441408,7829.947481,9537.489585,7435.899303,9997.21246,6976.176429,14713.75,-0.378578445,-0.423213359
17,5/13/2020,8878.25,9345.5,8947.5,8992.25,,8992.25,8633.805556,8642.366204,467.25,639.5199664,8633.805556,1.017334324,1.017334324,9273.325522,7994.285589,9657.037502,7610.573609,10104.70148,7162.909633,14713.75,-0.369751048,-0.413215152
