,date,open,high,low,close,Adj Close,volume
0,2020-01-06,8772.25,8873.0,8723.0,8847.5,8847.5,469514
1,2020-01-07,8853.25,8894.75,8825.75,8853.0,8853.0,510004
2,2020-01-08,8841.5,8972.25,8678.0,8944.5,8944.5,723085
3,2020-01-09,8948.75,9022.25,8932.5,9009.0,9009.0,457262
4,2020-01-10,9010.0,9055.5,8966.25,8978.25,8978.25,472166
5,2020-01-13,8979.0,9095.5,8979.0,9088.25,9088.25,380440
6,2020-01-14,9087.75,9114.75,9035.0,9062.5,9062.5,553343
7,2020-01-15,9062.0,9096.0,9023.0,9060.0,9060.0,497100
8,2020-01-16,9061.75,9140.25,9061.5,9133.5,9133.5,397881
9,2020-01-17,9137.0,9189.25,9130.0,9174.5,9174.5,438669
10,2020-01-21,9174.0,9199.75,9114.75,9169.75,9169.75,532160
11,2020-01-22,9179.5,9254.0,9174.25,9195.75,9195.75,519015
12,2020-01-23,9190.0,9253.5,9151.75,9248.25,9248.25,616950
13,2020-01-24,9252.0,9287.25,9109.5,9144.5,9144.5,758796
14,2020-01-27,9077.0,9077.0,8925.5,8954.5,8954.5,792705
15,2020-01-28,8952.5,9136.25,8952.5,9105.25,9105.25,632550
16,2020-01-29,9119.5,9158.75,9072.25,9098.5,9098.5,578408
17,2020-01-30,9111.25,9240.0,9003.5,9216.25,9216.25,846585
18,2020-01-31,9226.5,9248.75,8966.0,8997.75,8997.75,898384
19,2020-02-03,8982.75,9155.75,8975.0,9114.25,9114.25,680726
20,2020-02-04,9099.0,9369.25,9073.0,9355.0,9355.0,563913
21,2020-02-05,9357.0,9462.75,9317.75,9381.5,9381.5,729548
22,2020-02-06,9390.0,9464.0,9362.5,9455.5,9455.5,545054
23,2020-02-07,9467.0,9471.0,9385.0,9409.5,9409.5,592695
24,2020-02-10,9401.5,9531.5,9330.75,9527.5,9527.5,500147
25,2020-02-11,9525.0,9609.5,9501.25,9527.25,9527.25,589570
26,2020-02-12,9536.25,9628.25,9523.75,9625.75,9625.75,454472
27,2020-02-13,9621.5,9644.75,9511.25,9613.0,9613.0,613580
28,2020-02-14,9626.25,9659.25,9588.0,9632.25,9632.25,489387
29,2020-02-18,9635.0,9687.5,9534.25,9636.0,9636.0,668505
30,2020-02-19,9643.25,9748.75,9641.25,9733.5,9733.5,419130
31,2020-02-20,9744.75,9763.0,9517.0,9624.25,9624.25,802424
32,2020-02-21,9617.25,9623.75,9411.5,9458.0,9458.0,911839
33,2020-02-24,9355.25,9365.0,9041.25,9091.0,9091.0,1171879
