,date,etf,etf_line,etf_upper
50,2021-12-31,168.0,162.93,182.33
51,2022-01-07,168.0,164.96,184.35
52,2022-01-14,168.0,166.99,186.39
53,2022-01-21,168.0,169.04,188.43
54,2022-01-28,168.0,171.09,190.48
55,2022-02-04,168.0,173.15,192.54
56,2022-02-11,168.0,175.22,194.61
57,2022-02-18,168.0,177.29,196.69
58,2022-02-25,168.0,179.38,198.77
59,2022-03-04,168.0,181.47,200.87
60,2022-03-11,168.0,183.58,202.97
61,2022-03-18,168.0,185.69,205.08
62,2022-03-25,168.0,187.81,207.2
63,2022-04-01,168.0,189.93,209.33
64,2022-04-08,168.0,192.07,211.46
65,2022-04-15,168.0,194.22,213.61
66,2022-04-22,168.0,196.37,215.76
67,2022-04-29,168.0,198.53,217.93
68,2022-05-06,168.0,200.7,220.1
69,2022-05-13,168.0,202.88,222.28
70,2022-05-20,168.0,205.07,
