,date,open,high,low,close,Adj Close,volume
0,2020-12-21,12760.0,12782.5,12461.0,12683.5,12683.5,606583
1,2020-12-22,12698.25,12760.0,12593.5,12710.0,12710.0,457270
2,2020-12-23,12704.75,12738.75,12623.5,12651.25,12651.25,358011
3,2020-12-24,12660.75,12724.0,12631.5,12704.5,12704.5,173464
4,2020-12-28,12676.25,12855.5,12655.25,12832.75,12832.75,346691
5,2020-12-29,12845.25,12918.25,12808.25,12841.0,12841.0,393995
6,2020-12-30,12860.75,12909.75,12820.5,12841.5,12841.5,334304
7,2020-12-31,12840.0,12896.0,12796.5,12885.5,12885.5,280573
8,2021-01-04,12889.0,12959.75,12522.5,12685.5,12685.5,650472
9,2021-01-05,12682.75,12809.0,12612.0,12793.5,12793.5,483173
10,2021-01-06,12800.25,12844.25,12491.25,12616.75,12616.75,755618
11,2021-01-07,12658.5,12959.0,12646.5,12928.0,12928.0,435939
12,2021-01-08,12927.0,13125.0,12919.0,13097.25,13097.25,508107
13,2021-01-11,13093.25,13105.25,12871.75,12897.0,12897.0,454751
14,2021-01-12,12910.75,12959.0,12767.25,12890.25,12890.25,461733
15,2021-01-13,12882.5,13003.0,12820.75,12972.25,12972.25,416295
16,2021-01-14,12975.5,13028.75,12881.0,12901.0,12901.0,417583
17,2021-01-15,12909.0,12931.25,12743.5,12802.25,12802.25,539769
18,2021-01-19,12774.25,13032.75,12727.0,12985.5,12985.5,481603
19,2021-01-20,13030.0,13327.0,13017.0,13294.25,13294.25,438765
20,2021-01-21,13288.5,13423.5,13283.25,13395.5,13395.5,421922
21,2021-01-22,13394.0,13402.25,13300.25,13361.5,13361.5,407706
22,2021-01-25,13370.0,13554.5,13189.0,13475.5,13475.5,663844
23,2021-01-26,13459.75,13599.75,13380.25,13485.5,13485.5,502390
24,2021-01-27,13551.0,13586.5,12884.75,13105.5,13105.5,786471
25,2021-01-28,13052.5,13394.0,12906.25,13186.0,13186.0,623570
26,2021-01-29,13156.0,13188.0,12829.0,12911.25,12911.25,738848
27,2021-02-01,12849.0,13271.5,12727.25,13236.5,13236.5,549549
28,2021-02-02,13232.5,13509.75,13230.5,13449.0,13449.0,491671
29,2021-02-03,13506.0,13584.5,13386.75,13394.25,13394.25,499098
30,2021-02-04,13429.5,13568.75,13345.25,13547.5,13547.5,408023
31,2021-02-05,13560.0,13638.5,13519.5,13598.0,13598.0,431935
32,2021-02-08,13623.75,13693.0,13596.0,13683.0,13683.0,393927
33,2021-02-09,13683.5,13735.25,13634.0,13680.25,13680.25,367116
34,2021-02-10,13698.0,13769.25,13516.75,13643.5,13643.5,552643
35,2021-02-11,13662.0,13743.75,13612.5,13729.0,13729.0,495131
36,2021-02-12,13711.25,13820.75,13646.0,13804.75,13804.75,392927
37,2021-02-16,13829.5,13900.5,13716.0,13767.75,13767.75,604657
38,2021-02-17,13758.25,13785.0,13543.0,13699.75,13699.75,583565
39,2021-02-18,13699.5,13723.25,13468.0,13633.0,13633.0,574576
40,2021-02-19,13638.25,13729.0,13534.75,13576.0,13576.0,535194
41,2021-02-22,13585.0,13629.0,13215.0,13224.25,13224.25,648527
42,2021-02-23,13227.0,13335.75,12757.25,13192.0,13192.0,873273
43,2021-02-24,13170.75,13334.0,12958.0,13302.0,13302.0,673353
44,2021-02-25,13304.75,13353.75,12764.0,12831.75,12831.75,894521
45,2021-02-26,12802.5,13089.5,12662.25,12911.0,12911.0,841911
46,2021-03-01,12957.5,13318.0,12946.25,13279.75,13279.75,513852
47,2021-03-02,13312.25,13328.25,13048.25,13055.25,13055.25,563138
48,2021-03-03,13061.25,13192.0,12663.25,12681.75,12681.75,756448
49,2021-03-04,12682.0,12797.0,12306.5,12455.0,12455.0,1049493
50,2021-03-05,12435.0,12697.75,12207.25,12663.75,12663.75,1016317
51,2021-03-08,12715.0,12761.25,12281.75,12297.25,12297.25,749028
52,2021-03-09,12345.75,12867.5,12326.0,12788.75,12788.75,644022
53,2021-03-10,12812.0,12993.25,12703.0,12749.25,12749.25,715961
54,2021-03-11,12795.25,13119.25,12724.25,13048.25,13048.25,526139
55,2021-03-12,13055.0,13095.0,12768.25,12933.5,12933.5,476352
56,2021-03-15,12950.0,13099.0,12872.0,13078.5,13078.5,297629
57,2021-03-16,13084.75,13298.0,13056.5,13151.5,13151.5,240942
58,2021-03-17,13174.75,13283.25,12946.5,13201.5,13201.5,202697
59,2021-03-18,13200.5,13279.0,12777.5,12795.5,12795.5,121108
60,2021-03-19,12818.25,12919.0,12732.75,12808.759765625,12808.759765625,641117
61,2021-03-22,12807.0,13157.0,12788.5,13071.75,13071.75,478667
62,2021-03-23,13069.0,13172.0,12979.0,13006.25,13006.25,604250
63,2021-03-24,13050.25,13145.25,12784.0,12794.0,12794.0,626538
64,2021-03-25,12803.0,12859.5,12609.75,12770.5,12770.5,745797
65,2021-03-26,12799.75,12988.5,12676.25,12966.75,12966.75,622214
66,2021-03-29,12975.75,13003.0,12807.5,12944.5,12944.5,574193
67,2021-03-30,12975.0,12984.0,12776.5,12878.25,12878.25,516408
68,2021-03-31,12894.75,13158.0,12858.25,13089.75,13089.75,478398
69,2021-04-01,13094.5,13332.5,13090.25,13316.0,13316.0,436489
70,2021-04-05,13339.0,13615.0,13304.25,13585.5,13585.5,356725
71,2021-04-06,13603.75,13655.0,13524.25,13570.0,13570.0,457218
72,2021-04-07,13580.5,13641.0,13512.5,13604.75,13604.75,434828
73,2021-04-08,13620.75,13789.75,13615.5,13747.75,13747.75,435060
74,2021-04-09,13786.5,13841.75,13648.25,13829.5,13829.5,494768
75,2021-04-12,13817.75,13832.25,13732.0,13808.75,13808.75,453968
76,2021-04-13,13825.0,13994.0,13772.75,13975.75,13975.75,485938
77,2021-04-14,13977.75,14029.0,13772.75,13798.75,13798.75,662204
78,2021-04-15,13827.0,14034.25,13789.25,14014.0,14014.0,524814
79,2021-04-16,14002.0,14059.5,13952.75,14029.5,14029.5,500612
80,2021-04-19,13989.0,14052.25,13821.0,13897.25,13897.25,613719
81,2021-04-20,13900.0,13933.75,13719.25,13794.25,13794.25,606019
