,date,low,high,open,close,SMA,FRAMA,WMA,TEMA,ATR_diff,ATR,Line,line_change,change_SMA,upper_band,lower_band,upper_band_1,lower_band_1,upper_band_2,lower_band_2,recent_px,dist_to_upper,dist_to_lower,dist_to_line,etf,etf_upper,etf_lower,etf_line
0,2020-12-28,12461.0,12855.5,12760.0,12832.75,,12832.75,,12832.75,394.5,394.5,,,,,,,,,,15744.25,,,,146.2899932861328,,,
1,2021-01-05,12522.5,12959.75,12845.25,12793.5,,12793.5,,12797.738203217788,437.25,398.3863636363636,,,,,,,,,,15744.25,,,,146.2899932861328,,,
2,2021-01-12,12491.25,13125.0,12800.25,12890.25,,12890.25,,12863.417248224612,633.75,419.7830578512397,,,,,,,,,,15744.25,,,,146.2899932861328,,,
3,2021-01-20,12727.0,13327.0,12882.5,13294.25,,13294.25,,13143.469408522526,600.0,436.1664162283997,,,,,,,,,,15744.25,,,,146.2899932861328,,,
4,2021-01-27,12884.75,13599.75,13288.5,13105.5,,13105.5,,13159.13209435146,715.0,461.5149238439997,,,,,,,,,,15744.25,,,,146.2899932861328,,,
5,2021-02-03,12727.25,13584.5,13052.5,13394.25,,13394.25,,13307.164610647756,857.25,497.4908398581816,,,,,,,,,,15744.25,,,,146.2899932861328,,,
6,2021-02-10,13345.25,13769.25,13429.5,13643.5,,13643.5,,13501.822588393372,424.0,490.8098544165287,,,,,,,,,,15744.25,,,,146.2899932861328,,,
7,2021-02-18,13468.0,13900.5,13662.0,13633.0,,13633.0,,13610.333281891286,432.5,485.5089585604806,,,,,,,,,,15744.25,,,,146.2899932861328,,,
8,2021-02-25,12757.25,13729.0,13638.25,12831.75,,12831.75,13249.216666666667,13350.698677478875,971.75,529.7126896004369,13249.216666666667,,,13778.929356267105,12719.50397706623,14096.756970027367,12401.676363305967,14467.555852747671,12030.877480585663,15744.25,-0.12482783516095686,-0.19211750467210376,-0.1584726699165303,146.2899932861328,91.5068037832762,61.975387880240866,76.74109583175853
9,2021-03-04,12306.5,13328.25,12802.5,12455.0,,12455.0,13108.68888888889,13027.828133286223,1021.75,574.4433541822153,13108.68888888889,0.9893935029282654,,13683.132243071104,12534.245534706675,14027.798255580434,12189.579522197346,14429.908603507985,11787.469174269794,15744.25,-0.1309124129081345,-0.20388424124955618,-0.16739832707884528,146.2899932861328,88.83646526992548,56.81132043549525,72.82389285271039
10,2021-03-11,12207.25,13119.25,12435.0,13048.25,,13048.25,13095.205555555556,13019.285665359414,912.0,605.1303219838321,13095.205555555556,0.9989714201437214,0.9957787810719028,13700.335877539388,12490.075233571724,14063.414070729688,12126.997040381424,14487.00529611837,11703.405814992742,15744.25,-0.12981971973645057,-0.2066897290393811,-0.16825472438791578,146.2899932861328,89.31601550017382,55.5800760656818,72.44804578292784
11,2021-03-18,12768.25,13298.0,13055.0,12795.5,,12795.5,13025.511111111111,12925.973268476782,529.75,598.2775654398473,13025.511111111111,0.994677865563181,0.9961090504233612,13623.788676550957,12427.233545671264,13982.755215814866,12068.267006407355,14401.54951162276,11649.472710599463,15744.25,-0.1346816344664905,-0.2106811346573343,-0.1726813845619124,146.2899932861328,87.18226708052794,53.828367962523984,70.50531752152597
12,2021-03-25,12609.75,13172.0,12818.25,12770.5,,12770.5,12952.922222222222,12851.313001047836,562.25,595.002332218043,12952.922222222222,0.9944271753891508,0.9945107387804942,13547.924554440264,12357.91989000418,13904.92595377109,12000.918490673354,14321.42758632372,11584.416858120723,15744.25,-0.13950016326974835,-0.2150836089363305,-0.17729188610303948,146.2899932861328,85.06755944169507,51.8962541643738,68.4819068030344
13,2021-04-01,12676.25,13332.5,12799.75,13316.0,,13316.0,13001.072222222223,12976.282145929199,656.25,600.5703020164026,13001.072222222223,1.003717307891913,1.000620597057659,13601.642524238625,12400.501920205821,13961.984705448467,12040.159738995979,14382.383916859948,11619.760527584498,15744.25,-0.13608825290257553,-0.21237900057444326,-0.1742336267385094,146.2899932861328,86.56494447581485,53.08322558168011,69.82408502874749
14,2021-04-09,13304.25,13841.75,13339.0,13829.5,,13829.5,13147.244444444445,13234.153638907483,537.5,594.8366381967296,13147.244444444445,1.0112430897793472,1.0087344958168691,13742.081082641174,12552.407806247715,14098.983065559212,12195.505823329677,14515.368712296922,11779.120176591967,15744.25,-0.12716826253132574,-0.20273066000300333,-0.1649494612671646,146.2899932861328,90.47966047038236,57.31759261393492,73.89862654215861
15,2021-04-16,13732.0,14059.5,13817.75,14029.5,,14029.5,13323.744444444445,13490.979303097214,327.5,570.5333074515723,13323.744444444445,1.0134248663851826,1.0126976075165708,13894.277751896017,12753.211136992872,14236.59773636696,12410.891152521928,14635.971051583061,12011.517837305828,15744.25,-0.11750145279095436,-0.18997658592864874,-0.1537390193598015,146.2899932861328,94.72213306643411,62.914972846059435,78.8185529562468
16,2021-04-23,13700.5,14052.25,13989.0,13927.0,,13927.0,13471.166666666666,13654.188066011804,351.75,550.6439158650658,13471.166666666666,1.0110646239754089,1.0118513714453334,14021.810582531733,12920.5227508016,14352.19693205077,12590.136401282562,14737.647673156318,12204.685660177014,15744.25,-0.10940117296589347,-0.17934974668202042,-0.14437545982395694,146.2899932861328,98.27710271010598,67.57877357218565,82.92793814114582
17,2021-04-30,13818.5,14064.0,13919.75,13850.0,,13850.0,13596.655555555555,13753.894346013712,245.5,522.9035598773326,13596.655555555555,1.0093153690392238,1.009898454017952,14119.559115432887,13073.751995678223,14433.301251359288,12760.009859751823,14799.33374327342,12393.97736783769,15744.25,-0.10319265030516622,-0.16961735264123579,-0.136405001473201,146.2899932861328,101.00183692516975,71.8500291488388,86.42593303700428
18,2021-05-07,13380.75,13947.5,13880.25,13709.75,,13709.75,13671.466666666667,13786.61287905306,566.75,526.8895998884841,13671.466666666667,1.0055021700597941,1.0067732363862707,14198.35626655515,13144.577066778184,14514.490026488242,12828.443306845093,14883.31274641018,12459.620586923154,15744.25,-0.0981878294262889,-0.16511888043074874,-0.13165335492851882,146.2899932861328,103.19830256347754,73.82427355724882,88.51128806036319
19,2021-05-14,12915.0,13752.0,13718.0,13387.0,,13387.0,13653.844444444445,13715.587603802678,837.0,555.0814544440765,13653.844444444445,0.9987110218199786,1.0009747378999172,14208.925898888521,13098.762990000369,14541.974771554967,12765.714117333922,14930.53178966582,12377.15709922307,15744.25,-0.0975164965693176,-0.1680287730441038,-0.13277263480671075,146.2899932861328,103.49293040089482,72.54720904463558,88.02006972276517
20,2021-05-21,12954.25,13570.0,13380.25,13405.0,13282.940476190477,13387.963543433812,13632.294444444444,13661.421883867308,615.75,560.5967767673422,13632.294444444444,0.9984216899432475,0.9985181339021579,14192.891221211787,13071.697667677101,14529.249287272192,12735.339601616695,14921.66703100933,12342.921857879557,15744.25,-0.09853494315627698,-0.1697478338010956,-0.13414138847868629,146.2899932861328,103.0459647677891,71.79276488483923,87.41936482631417
21,2021-05-28,13356.5,13763.5,13383.25,13686.5,13323.595238095239,13403.94425690482,13653.5,13694.65729887842,407.0,546.6334334248565,13653.5,1.0015555382582129,1.0005109221532245,14200.133433424857,13106.866566575143,14528.11349347977,12778.88650652023,14910.75689687717,12396.24310312283,15744.25,-0.09807495222542473,-0.16751407233909887,-0.1327945122822618,146.2899932861328,103.24784097834727,72.7730957326742,88.01046835551074
22,2021-06-07,13462.25,13824.0,13699.0,13804.25,13371.72619047619,13518.168157755863,13677.9,13751.238013202563,361.75,529.8258485680514,13677.9,1.0017870875599664,1.0017099044593818,14207.72584856805,13148.074151431949,14525.621357708882,12830.178642291117,14896.499451706517,12459.300548293482,15744.25,-0.0975927180673547,-0.1648967622190991,-0.13124474014322696,146.2899932861328,103.4594790735865,73.92175457232167,88.69061682295406
23,2021-06-14,13726.0,14133.5,13823.0,14124.75,13430.511904761905,13753.145850597577,13755.55,13881.68210315658,407.5,518.7053168800467,13755.55,1.0056770410662454,1.004380389897486,14274.255316880046,13236.844683119953,14585.478507008074,12925.621492991924,14948.572228824107,12562.527771175892,15744.25,-0.09336708214871803,-0.1592584795642884,-0.12631278085650322,146.2899932861328,105.3139838240875,76.3962275674744,90.85510569578095
24,2021-06-21,13840.0,14217.75,14119.5,14130.0,13470.309523809523,13832.67584357291,13827.68888888889,13984.722559997552,377.75,505.8911971636787,13827.68888888889,1.0052443478369741,1.0053885789133978,14333.580086052569,13321.79769172521,14637.114804350776,13018.262973427003,14991.238642365352,12664.139135412428,15744.25,-0.08959905450862582,-0.15386266784856628,-0.121730861178596,146.2899932861328,106.96765803860066,78.76428734647308,92.86597269253689
25,2021-06-28,14066.5,14519.75,14136.75,14512.5,13537.309523809523,13944.65649247923,13974.094444444445,14167.166987315375,453.25,501.10563378516247,13974.094444444445,1.0105878543212812,1.0088066854931788,14475.200078229607,13472.988810659283,14775.863458500706,13172.325430388184,15126.637402150318,12821.551486738572,15744.25,-0.08060402507394082,-0.14425972588981484,-0.11243187548187783,146.2899932861328,110.91530642542656,82.9787302904917,96.94701835795912
26,2021-07-06,14468.75,14790.0,14504.5,14775.5,13603.083333333334,14108.740081383214,14160.08888888889,14380.548054484425,321.25,484.7551216228749,14160.08888888889,1.0133099461424055,1.0124025822020306,14644.844010511764,13675.333767266015,14935.69708348549,13384.48069429229,15275.025668621502,13045.152109156277,15744.25,-0.06982904803266177,-0.13140773506098957,-0.10061839154682573,146.2899932861328,115.64412038250741,88.61908324667856,102.13160181459295
27,2021-07-13,14540.5,14994.75,14764.5,14865.0,13661.25,14266.327074101004,14343.416666666666,14571.95048786085,454.25,481.9819287480681,14343.416666666666,1.0129467956886649,1.0130678458399116,14825.398595414734,13861.434737918598,15114.587752663576,13572.245580669756,15451.975102787223,13234.85823054611,15744.25,-0.05836107814505398,-0.11958748508702555,-0.08897428161603971,146.2899932861328,120.67706809609855,93.80663611467338,107.241852105386
28,2021-07-20,14445.0,14996.0,14869.75,14722.75,13713.142857142857,14361.435005288778,14472.622222222222,14683.911472739956,551.0,488.25629886188005,14472.622222222222,1.00900800405916,1.0103209346023283,14960.878521084102,13984.365923360343,15253.83230040123,13691.412144043214,15595.611709604545,13349.632734839899,15744.25,-0.049756036579443164,-0.11177947991423265,-0.0807677582468379,146.2899932861328,124.45356251467885,97.23333518759128,110.84344885113507
