,date,low,high,open,close,SMA,FRAMA,WMA,TEMA,ATR_diff,ATR,Line,line_change,change_SMA,upper_band,lower_band,upper_band_1,lower_band_1,upper_band_2,lower_band_2,recent_px,dist_to_upper,dist_to_line,etf,etf_upper,etf_line
0,2020-07-07,10308.75,10694.5,10352.0,10532.25,,10532.25,,10532.25,385.75,385.75,,,,,,,,,,14744.25,,,127.62999725341797,,
1,2020-07-09,10505.25,10774.25,10526.0,10727.5,,10727.5,,10706.416963610842,269.0,375.1363636363636,,,,,,,,,,14744.25,,,127.62999725341797,,
2,2020-07-13,10561.5,11058.5,10727.0,10600.0,,10600.0,,10643.133200694065,497.0,386.21487603305786,,,,,,,,,,14744.25,,,127.62999725341797,,
3,2020-07-15,10358.75,10766.5,10602.0,10683.25,,10683.25,,10671.45340138424,407.75,388.1726145755071,,,,,,,,,,14744.25,,,127.62999725341797,,
4,2020-07-17,10475.5,10698.25,10693.0,10622.5,,10622.5,,10648.99551436654,222.75,373.13419506864284,,,,,,,,,,14744.25,,,127.62999725341797,,
5,2020-07-21,10546.25,11058.0,10621.25,10851.0,,10851.0,,10751.826869907121,511.75,385.7356318805844,,,,,,,,,,14744.25,,,127.62999725341797,,
6,2020-07-23,10514.5,10938.5,10850.75,10548.25,,10548.25,,10669.744635347526,424.0,389.21421080053125,,,,,,,,,,14744.25,,,127.62999725341797,,
7,2020-07-27,10301.0,10684.0,10565.5,10675.25,,10675.25,,10672.758082761517,383.0,388.64928254593747,,,,,,,,,,14744.25,,,127.62999725341797,,
8,2020-07-29,10512.25,10758.5,10682.5,10674.25,,10674.25,10667.705555555556,10674.028052181695,246.25,375.7038932235795,10667.705555555556,,,11043.409448779135,10292.001662331977,11268.831784713284,10066.579326397828,11531.824509969789,9803.586601141324,14744.25,-0.25100229250188144,-0.27648367631072746,127.62999725341797,95.59457535080122,92.34238640526492
9,2020-07-31,10502.75,10939.0,10700.0,10890.5,,10890.5,10714.377777777778,10757.130914984973,436.25,381.20808474870864,10714.377777777778,1.0043750947173373,1.0043750947173373,11095.585862526486,10333.16969302907,11324.310713375711,10104.444842179844,11591.156372699808,9837.599182855747,14744.25,-0.2474635290010352,-0.2733182238650472,127.62999725341797,96.04622772669472,92.74639309221291
10,2020-08-04,10876.25,11094.75,10933.25,11086.0,,11086.0,10792.18888888889,10885.203024715598,218.5,366.4164406806442,10792.18888888889,1.0072623079683167,1.0072623079683167,11158.605329569535,10425.772448208245,11378.455193977921,10205.922583799858,11634.946702454372,9949.431075323408,14744.25,-0.24318935655801177,-0.2680408370117917,127.62999725341797,96.59174034385845,93.41994596179914
11,2020-08-06,11051.25,11271.75,11080.5,11261.25,,11261.25,10897.083333333334,11035.784972196236,220.5,353.1513097096765,10897.083333333334,1.0097194781822656,1.0097194781822656,11250.23464304301,10543.932023623658,11462.125428868816,10332.041237797852,11709.33134566559,10084.835321001077,14744.25,-0.23697477707967451,-0.26092657589681845,127.62999725341797,97.38490710560977,94.32793908836328
12,2020-08-10,10928.25,11283.25,11260.5,11072.0,,11072.0,10949.433333333332,11078.542495551827,355.0,353.3193724633423,10949.433333333332,1.0048040377776928,1.0048040377776928,11302.752705796674,10596.11396086999,11514.74432927468,10384.122337391986,11762.06788999902,10136.798776667645,14744.25,-0.23341284190130562,-0.2573760392469381,127.62999725341797,97.83951688264185,94.78109407123567
13,2020-08-12,10845.5,11185.75,11072.25,11126.0,,11126.0,11003.944444444445,11124.6306780498,340.25,352.13124769394756,11003.944444444445,1.004978441299347,1.004978441299347,11356.075692138393,10651.813196750498,11567.354440754762,10440.534448134129,11813.846314140525,10194.042574748366,14744.25,-0.229796314350449,-0.2536789294508405,127.62999725341797,98.30109428402459,95.25295618435719
14,2020-08-14,11094.25,11266.0,11115.5,11133.75,,11133.75,11048.816666666668,11158.527239774834,171.75,335.73295244904324,11048.816666666668,1.0040778306768785,1.0040778306768787,11384.54961911571,10713.083714217624,11585.989390585137,10511.643942748198,11821.002457299466,10276.630876033869,14744.25,-0.2278651257869535,-0.2506355584945543,127.62999725341797,98.54757187507936,95.64138161114913
15,2020-08-18,11142.25,11415.25,11145.0,11409.25,,11409.25,11142.505555555555,11266.529200701838,273.0,330.0299567718575,11142.505555555555,1.00847954054406,1.00847954054406,11472.535512327413,10812.475598783698,11670.553486390527,10614.457624720584,11901.574456130827,10383.436654980283,14744.25,-0.22189765418197516,-0.24428129233053186,127.62999725341797,99.30920025963259,96.4523765842108
16,2020-08-20,11221.5,11496.5,11414.25,11477.25,,11477.25,11230.66111111111,11366.527792273013,275.0,325.0272334289613,11230.66111111111,1.0079116456452293,1.0079116456452293,11555.688344540073,10905.633877682149,11750.70468459745,10710.617537624772,11978.223747997721,10483.0984742245,14744.25,-0.21625797551316117,-0.23830231370798038,127.62999725341797,100.02899243264348,97.21547360938528
17,2020-08-24,11407.0,11722.5,11480.0,11636.25,,11636.25,11332.794444444444,11487.33114491974,315.5,324.16112129905576,11332.794444444444,1.0090941514771812,1.0090941514771812,11656.9555657435,11008.633323145388,11851.452238522934,10814.136650365954,12078.365023432272,10587.223865456615,14744.25,-0.20938972374020381,-0.23137531956902224,127.62999725341797,100.90558738756181,98.09956585231495
18,2020-08-26,11574.75,12001.5,11636.0,11991.25,,11991.25,11484.55,11680.895682146236,426.75,333.48738299914163,11484.55,1.0133908327994028,1.013390832799403,11818.03738299914,11151.062617000858,12018.129812798627,10950.970187201372,12251.570980898025,10717.529019101974,14744.25,-0.19846466364859927,-0.22108279498787664,127.62999725341797,102.29995277704673,99.4132007363373
19,2020-08-28,11834.75,12046.0,11984.5,11991.75,,11991.75,11611.944444444445,11827.870400758702,211.25,322.37489363558325,11611.944444444445,1.0110926805529556,1.011092680552956,11934.31933808003,11289.569550808861,12127.744274261378,11096.144614627512,12353.406699806286,10870.482189082604,14744.25,-0.19057806683418765,-0.2124425152554762,127.62999725341797,103.30651910680889,100.51595961485233
20,2020-09-01,11988.25,12328.75,12002.75,12312.5,11109.619047619048,12296.108869565644,11783.361111111111,12029.164936226662,340.5,324.02263057780294,11783.361111111111,1.0147620984139893,1.0147620984139898,12107.383741688915,11459.338480533308,12301.797320035595,11264.924902186627,12528.613161440058,11038.109060782164,14744.25,-0.1788403111932506,-0.2008165141590036,127.62999725341797,104.80460882702297,101.99978610286337
21,2020-09-03,11658.5,12465.25,12325.5,11800.5,11170.011904761905,12044.076301686655,11829.016666666666,12039.244578667975,806.75,367.9069368889118,11829.016666666666,1.003874578324898,1.0038745783248986,12196.923603555579,11461.109729777754,12417.667765688926,11240.365567644407,12675.202621511164,10982.83071182217,14744.25,-0.17276744469501137,-0.19772001514714777,127.62999725341797,105.57968876151362,102.39499226324175
22,2020-09-08,11040.5,11843.0,11745.0,11060.5,11185.869047619048,11563.005995978045,11710.483333333334,11836.539747828738,802.5,407.41539717173794,11710.483333333334,0.9899794432053384,0.989979443205339,12117.898730505072,11303.067936161595,12362.347968808113,11058.618697858554,12647.538746828332,10773.427919838336,14744.25,-0.1781271525845619,-0.20575930730058611,127.62999725341797,104.89562925829117,101.36893742777897
23,2020-09-10,10935.25,11566.75,11006.0,11178.25,11213.404761904761,11374.820611386147,11616.955555555556,11702.196794500913,631.5,427.78672470157994,11616.955555555556,0.9920133289877494,0.9920133289877502,12044.742280257136,11189.168830853976,12301.414315078084,10932.496796033029,12600.86502236919,10633.046088741923,14744.25,-0.18308884614292786,-0.21210264641771837,127.62999725341797,104.26236832306462,100.55933707368189
24,2020-09-14,10937.5,11362.75,11187.0,11280.5,11241.845238095239,11328.688099575576,11542.888888888889,11618.875783905629,425.25,427.5561133650727,11542.888888888889,0.9936242618547984,0.9936242618547991,11970.445002253962,11115.332775523815,12226.978670273005,10858.799107504772,12526.267949628556,10559.509828149221,14744.25,-0.1881279141187946,-0.21712607362945635,127.62999725341797,103.61923209114497,99.91819707244503
25,2020-09-16,11237.5,11550.0,11278.5,11268.75,11272.619047619048,11310.582546835498,11469.333333333334,11546.185037835568,312.5,417.09646669552063,11469.333333333334,0.9936276302870455,0.9936276302870461,11886.429800028855,11052.236866637813,12136.687680046167,10801.978986620501,12428.65520673303,10510.011459933638,14744.25,-0.19382608135179102,-0.2221148357269217,127.62999725341797,102.89197502284811,99.28148137964757
26,2020-09-18,10918.75,11302.5,11269.5,11144.8095703125,11286.60997953869,11273.745719963614,11375.62302517361,11452.574101018676,383.75,414.06496972320053,11375.62302517361,0.9918294895233908,0.9918294895233914,11789.68799489681,10961.55805545041,12038.126976730731,10713.11907361649,12327.972455536972,10423.273594810249,14744.25,-0.20038740560579138,-0.2284705546112138,127.62999725341797,102.05455322633127,98.47030099590187
27,2020-09-22,10656.5,11191.0,10920.0,11149.5,11315.240931919643,11256.908992789256,11293.771701388889,11376.908335301125,534.5,425.01360883927316,11293.771701388889,0.9928046733261475,0.9928046733261482,11718.785310228162,10868.758092549615,11973.793475531726,10613.749927246052,12271.303001719218,10316.24040105856,14744.25,-0.2051962419093435,-0.2340219610092823,127.62999725341797,101.44080146211677,97.76177501256379
28,2020-09-24,10660.25,11222.0,11160.5,10891.75,11325.550455729166,11248.750386488879,11179.075933159722,11246.951827642768,561.75,437.44418985388467,11179.075933159722,0.9898443344471837,0.9898443344471843,11616.520123013606,10741.631743305838,11878.986636925938,10479.165229393506,12185.197569823657,10172.954296495787,14744.25,-0.21213217878063606,-0.24180097779407417,127.62999725341797,100.55556785828382,96.7689391216865
29,2020-09-28,10813.75,11404.0,10914.25,11394.75,11359.85997953869,11254.067068071576,11189.424609375,11273.407305464638,590.25,451.33562713989517,11189.424609375,1.0009257183936449,1.0009257183936455,11640.760236514896,10738.088982235106,11911.561612798832,10467.28760595117,12227.49655179676,10151.352666953242,14744.25,-0.21048814035879104,-0.2410990990131746,127.62999725341797,100.7653964775484,96.85851990856494
30,2020-09-30,11167.0,11526.0,11388.0,11407.25,11384.467122395834,11263.888845653808,11222.667730034722,11298.366206040175,359.0,442.9414792180865,11222.667730034722,1.0029709410287164,1.0029709410287173,11665.609209252809,10779.726250816635,11931.37409678366,10513.961363285784,12241.433132236321,10203.902327833122,14744.25,-0.2088028072467023,-0.23884444918970293,127.62999725341797,100.98049553801539,97.14628085934206
31,2020-10-02,11204.5,11604.75,11375.0,11233.25,11391.479027157739,11256.378180176172,11229.849739583333,11273.546266644158,400.25,439.0604356528059,11229.849739583333,1.0006399556434689,1.00063995564347,11668.910175236138,10790.789303930527,11932.346436627822,10527.353042538844,12239.688741584787,10220.010737581879,14744.25,-0.20857892566687775,-0.2383573433994043,127.62999725341797,101.0090695434335,97.20845017002
32,2020-10-06,11197.5,11524.5,11308.5,11273.75,11392.074265252977,11260.456091164415,11241.292860243055,11263.9050754158,327.0,428.87312332073265,11241.292860243055,1.0010189914313268,1.0010189914313279,11670.165983563787,10812.419736922322,11927.489857556227,10555.095862929882,12227.70104388074,10254.88467660537,14744.25,-0.2084937529163038,-0.23758123605859538,127.62999725341797,101.0199401413553,97.30750474779579
33,2020-10-08,11208.0,11578.75,11220.5,11539.0,11414.31236049107,11301.033075675163,11303.663758680555,11324.63904320776,370.75,423.58920301884785,11303.663758680555,1.0055483741250162,1.005548374125017,11727.252961699403,10880.074555661708,11981.406483510713,10625.921033850398,12277.918925623906,10329.408591737205,14744.25,-0.20462193996307687,-0.2333510515163162,127.62999725341797,101.51409961794141,97.84740318930834
