,date,etf,etf_line,etf_upper
125,2021-07-06,127.62999725341797,125.52340877636614,127.7667724982055
126,2021-07-08,127.62999725341797,126.32434704174827,128.56771076358766
127,2021-07-12,127.62999725341797,127.13039592443445,129.3737596462738
128,2021-07-14,127.62999725341797,127.9415880341904,130.1849517560298
129,2021-07-16,127.62999725341797,128.75795618885795,131.00131991069733
130,2021-07-20,127.62999725341797,129.5795334156825,131.8228971375219
131,2021-07-22,127.62999725341797,130.40635295264943,132.64971667448881
132,2021-07-26,127.62999725341797,131.23844824982856,133.48181197166792
133,2021-07-28,127.62999725341797,132.07585297072754,134.3192166925669
134,2021-07-30,127.62999725341797,132.91860099365374,135.1619647154931
135,2021-08-03,127.62999725341797,133.76672641308485,136.0100901349242
136,2021-08-05,127.62999725341797,134.62026354104816,136.86362726288752
137,2021-08-09,127.62999725341797,135.47924690850874,137.7226106303481
138,2021-08-11,127.62999725341797,136.34371126676643,138.5870749886058
139,2021-08-13,127.62999725341797,137.21369158886176,139.45705531070115
140,2021-08-17,127.62999725341797,138.0892230709908,140.3325867928302
141,2021-08-19,127.62999725341797,138.97034113392917,141.21370485576853
142,2021-08-23,127.62999725341797,139.85708142446475,142.1004451463041
143,2021-08-25,127.62999725341797,140.74947981684022,142.99284353867958
144,2021-08-27,127.62999725341797,141.64757241420415,143.89093613604354
145,2021-08-31,127.62999725341797,142.5513955500716,
