,date,etf,etf_line,etf_upper
50,2021-07-06,125.61000061035156,114.83480251039263,126.73880336123503
51,2021-07-13,125.61000061035156,118.9673590480734,130.87135989891576
52,2021-07-20,125.61000061035156,123.14656986637851,135.05057071722092
53,2021-07-27,125.61000061035156,127.37296166636574,139.27696251720815
54,2021-08-03,125.61000061035156,131.64706709525726,143.55106794609964
55,2021-08-10,125.61000061035156,135.96942481356797,147.87342566441038
56,2021-08-17,125.61000061035156,140.34057956299236,152.24458041383477
57,2021-08-24,125.61000061035156,144.76108223505796,156.66508308590036
58,2021-08-31,125.61000061035156,149.23148994055313,161.1354907913955
59,2021-09-07,125.61000061035156,153.75236607973952,165.65636693058192
60,2021-09-14,125.61000061035156,158.32428041335643,170.22828126419884
61,2021-09-21,125.61000061035156,162.9478091344272,174.85180998526957
62,2021-09-28,125.61000061035156,167.6235349408759,179.52753579171832
63,2021-10-05,125.61000061035156,172.35204710896474,184.25604795980723
64,2021-10-12,125.61000061035156,177.13394156755925,189.03794241840166
65,2021-10-19,125.61000061035156,181.9698209732325,193.87382182407498
66,2021-10-26,125.61000061035156,186.86029478621765,198.76429563706003
67,2021-11-02,125.61000061035156,191.80597934721695,203.70998019805936
68,2021-11-09,125.61000061035156,196.80749795507907,208.71149880592154
69,2021-11-16,125.61000061035156,201.86548094535232,213.76948179619473
70,2021-11-23,125.61000061035156,206.98056576972476,
