,date,low,high,open,close,SMA,FRAMA,WMA,TEMA,ATR_diff,ATR,Line,line_change,change_SMA,upper_band,lower_band,upper_band_1,lower_band_1,upper_band_2,lower_band_2,recent_px,dist_to_upper,dist_to_line,etf,etf_upper,etf_line
0,2020-07-10,10308.75,10847.5,10352.0,10837.25,,10837.25,,10837.25,538.75,538.75,,,,,,,,,,14658.25,,,125.61000061035156,,
1,2020-07-17,10358.75,11058.5,10848.25,10622.5,,10622.5,,10645.688640535578,699.75,553.3863636363636,,,,,,,,,,14658.25,,,125.61000061035156,,
2,2020-07-24,10301.0,11058.0,10621.25,10459.0,,10459.0,,10489.124189692917,757.0,571.896694214876,,,,,,,,,,14658.25,,,125.61000061035156,,
3,2020-07-31,10401.0,10939.0,10490.0,10890.5,,10890.5,,10715.91672039532,538.0,568.8151765589781,,,,,,,,,,14658.25,,,125.61000061035156,,
4,2020-08-07,10876.25,11283.25,10933.25,11122.75,,11122.75,,10950.803309222634,407.0,554.1047059627074,,,,,,,,,,14658.25,,,125.61000061035156,,
5,2020-08-14,10845.5,11266.0,11140.25,11133.75,,11133.75,,11075.819340642036,420.5,541.9588236024613,,,,,,,,,,14658.25,,,125.61000061035156,,
6,2020-08-21,11142.25,11573.5,11145.0,11562.0,,11562.0,,11340.296958065546,431.25,531.8943850931466,,,,,,,,,,14658.25,,,125.61000061035156,,
7,2020-08-28,11528.25,12046.0,11581.0,11991.75,,11991.75,,11680.446156749442,517.75,530.6085319028606,,,,,,,,,,14658.25,,,125.61000061035156,,
8,2020-09-04,11142.0,12465.25,12002.75,11548.75,,11548.75,11338.761111111111,11712.68709717381,1323.25,602.6668471844187,11338.761111111111,,,11941.42795829553,10736.094263926692,12303.02806660618,10374.494155616041,12724.894859635275,9952.627362586947,14658.25,-0.18534422879296442,-0.22645874431728819,125.61000061035156,55.766734534923366,40.27355157460951
9,2020-09-14,10935.25,11585.0,11531.0,11280.5,,11280.5,11368.9,11622.517519753237,649.75,606.947133804017,11368.9,1.002658040732453,1.002658040732453,11975.847133804016,10761.952866195983,12340.015414086427,10397.784585913572,12764.878407749238,9972.921592250761,14658.25,-0.18299611933184268,-0.22440264015145062,125.61000061035156,56.651572627457384,41.04835331118692
10,2020-09-21,10656.5,11550.0,11278.5,10989.0,,10989.0,11330.888888888889,11446.512305287366,893.5,632.9973943672882,11330.888888888889,0.9966565708985821,0.9966565708985822,11963.886283256177,10697.8914945216,12343.68471987655,10318.093057901227,12786.782895933651,9874.994881844126,14658.25,-0.183812100130904,-0.22699579493535116,125.61000061035156,56.344086581453006,40.07117478922147
11,2020-09-28,10660.25,11404.0,10966.25,11394.75,,11394.75,11365.883333333333,11458.32475873489,743.75,643.0658130611711,11365.883333333333,1.0030884112259506,1.0030884112259506,12008.949146394505,10722.817520272161,12394.788634231207,10336.97803243546,12844.934703374027,9886.83196329264,14658.25,-0.18073786799962444,-0.22460844007072245,125.61000061035156,57.50254948111217,40.970801727230885
12,2020-10-05,11167.0,11604.75,11388.0,11469.25,,11469.25,11394.983333333334,11488.56649715251,437.75,624.4007391465191,11394.983333333334,1.0025602937445837,1.0025602937445837,12019.384072479852,10770.582594186815,12394.024515967763,10395.942150698904,12831.105033370328,9958.86163329634,14658.25,-0.1800259872440536,-0.22262320991023254,125.61000061035156,57.77080750753741,41.71889601224336
13,2020-10-12,11197.5,12197.0,11473.0,12098.25,,12098.25,11537.022222222222,11713.068745031189,999.5,658.5006719513809,11537.022222222222,1.0124650370021504,1.0124650370021504,12195.522894173602,10878.521550270842,12590.623297344431,10483.421147100013,13051.573767710397,10022.470676734047,14658.25,-0.168009626376027,-0.21293317945715062,125.61000061035156,62.29893279543849,45.3703902056212
14,2020-10-19,11591.25,12249.0,12100.0,11650.25,,11650.25,11567.783333333333,11734.938455183288,657.75,658.4324290467099,11567.783333333333,1.002666295558646,1.002666295558646,12226.215762380043,10909.350904286623,12621.275219808069,10514.291446858597,13082.177920140766,10053.3887465259,14658.25,-0.16591572920505226,-0.21083462668917963,125.61000061035156,63.08797607021094,46.16118784901827
15,2020-10-26,11343.25,11792.0,11697.5,11492.25,,11492.25,11555.466666666667,11698.39266276005,448.75,639.3703900424634,11555.466666666667,0.9989352612932182,0.9989352612932181,12194.83705670913,10916.096276624205,12578.459290734609,10532.474042598726,13026.018563764334,10084.914769569,14658.25,-0.1680564148715481,-0.2116748816081956,125.61000061035156,62.281301486585605,45.84455458634694
16,2020-11-02,10942.25,11623.0,11499.5,11063.25,,11063.25,11458.9,11536.902586510978,680.75,643.1321727658758,11458.9,0.9916432049477303,0.9916432049477301,12102.032172765876,10815.767827234124,12487.9114764254,10429.888523574598,12938.103997361513,9979.696002638486,14658.25,-0.174387653862782,-0.21826275305715215,125.61000061035156,59.895500685926095,43.36204697617388
17,2020-11-09,11064.5,12408.75,11074.75,11820.5,,11820.5,11534.416666666666,11634.831284260768,1344.25,706.8701570598871,11534.416666666666,1.0065902195382337,1.0065902195382335,12241.286823726554,10827.546509606778,12665.408917962486,10403.424415370846,13160.218027904406,9908.615305428926,14658.25,-0.16488756681550976,-0.2131109329785843,125.61000061035156,63.47541850534487,45.303407345813866
18,2020-11-16,11503.25,12065.0,11863.5,12005.0,,12005.0,11640.794444444444,11762.744687148353,561.75,693.6774155089884,11640.794444444444,1.0092226404552558,1.0092226404552556,12334.471859953432,10947.117028935456,12750.678309258825,10530.910579630063,13236.252500115117,10045.33638877377,14658.25,-0.15853039346760822,-0.20585373803527407,125.61000061035156,65.87099214967493,48.03813612958978
19,2020-11-23,11804.5,12096.25,12061.25,11905.25,,11905.25,11711.122222222222,11831.58354097154,291.75,657.1385595536258,11711.122222222222,1.006041492967977,1.0060414929679768,12368.260781775847,11053.983662668597,12762.543917508023,10659.700526936422,13222.54090919556,10199.703535248884,14658.25,-0.1562252805228559,-0.2010559089780688,125.61000061035156,66.73962786486675,49.846102062001535
20,2020-12-02,11872.75,12512.25,11909.75,12454.25,11418.607142857143,11948.731973570499,11870.888888888889,12038.392616932751,639.5,655.5350541396598,11870.888888888889,1.0136423020471517,1.0136423020471514,12526.423943028549,11215.353834749229,12919.744975512345,10822.032802265432,13378.619513410105,10363.158264367672,14658.25,-0.14543523660542368,-0.19015647236956057,125.61000061035156,70.80564013402989,53.95333677914315
21,2020-12-09,12306.75,12675.0,12472.0,12367.0,11491.452380952382,11981.859695374857,11989.66111111111,12174.030413443026,368.25,629.4182310360544,11989.66111111111,1.0100053351803666,1.0100053351803666,12619.079342147164,11360.242880075057,12996.730280768797,10982.591941453424,13437.323042494036,10541.999179728185,14658.25,-0.13911419561358518,-0.18205371643196766,125.61000061035156,73.18759802255856,57.00669831394288
